                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.69155,                 1.0522,                 1.2998,                0.60076,                0.84912,                 0.6906,                0.53114,                0.63996,                0.96337,                 1.3463,               0.006535,               0.006535,               0.006535
                     37,                0.68491,                  1.052,                 1.2868,                0.60742,                0.83349,                0.66854,                0.50899,                0.63694,                 0.9943,                 1.3295,               0.006436,               0.006436,               0.006436
                     38,                0.67726,                 1.0446,                 1.2769,                0.61618,                0.84061,                0.70652,                0.55413,                0.57848,                0.93081,                 1.2421,               0.006337,               0.006337,               0.006337
                     39,                 0.6679,                 1.0462,                 1.2752,                0.64579,                0.80625,                0.70855,                 0.5577,                0.60527,                0.93044,                 1.2906,               0.006238,               0.006238,               0.006238
                     40,                0.67359,                  1.039,                 1.2765,                0.64382,                0.78431,                0.70729,                0.55675,                 0.5662,                 0.9454,                 1.2455,               0.006139,               0.006139,               0.006139
                     41,                 0.6742,                 1.0389,                 1.2815,                0.60506,                0.81461,                0.73428,                0.59098,                0.57279,                0.93381,                 1.2454,                0.00604,                0.00604,                0.00604
                     42,                0.67499,                 1.0313,                 1.2802,                0.54426,                0.87174,                0.72964,                0.56818,                0.61124,                 1.0083,                 1.2916,               0.005941,               0.005941,               0.005941
                     43,                0.66596,                 1.0323,                 1.2724,                0.60184,                0.83545,                0.71163,                0.56677,                0.58332,                0.95025,                  1.275,               0.005842,               0.005842,               0.005842
                     44,                0.66853,                 1.0281,                 1.2747,                 0.5979,                0.88575,                0.73377,                0.58105,                0.58268,                0.95486,                  1.254,               0.005743,               0.005743,               0.005743
                     45,                0.65403,                 1.0195,                 1.2606,                0.61053,                 0.8209,                0.75587,                0.59955,                0.61925,                 1.0037,                 1.3116,               0.005644,               0.005644,               0.005644
                     46,                 0.6608,                 1.0113,                  1.274,                0.68289,                0.75813,                0.76757,                 0.6185,                0.56526,                0.89353,                 1.2429,               0.005545,               0.005545,               0.005545
                     47,                0.65195,                 1.0155,                 1.2572,                0.71072,                0.73479,                0.75393,                0.60019,                0.57188,                0.92906,                  1.241,               0.005446,               0.005446,               0.005446
                     48,                0.66055,                 1.0126,                 1.2661,                0.63094,                0.75822,                0.74489,                0.60356,                 0.5658,                0.93553,                 1.2511,               0.005347,               0.005347,               0.005347
                     49,                0.65665,                 1.0154,                 1.2645,                0.60578,                0.82061,                0.73925,                 0.5808,                0.58626,                 0.9218,                 1.2779,               0.005248,               0.005248,               0.005248
                     50,                0.65446,                 1.0128,                 1.2619,                0.62397,                0.85499,                0.74055,                0.58601,                0.59543,                0.91734,                 1.2828,               0.005149,               0.005149,               0.005149
                     51,                0.64078,                 0.9947,                 1.2541,                0.62137,                0.84462,                0.77758,                 0.6318,                0.55728,                0.91673,                 1.2266,                0.00505,                0.00505,                0.00505
                     52,                0.64126,                0.99889,                 1.2531,                 0.6551,                0.78739,                0.78075,                0.64252,                0.55671,                 0.8978,                 1.2202,               0.004951,               0.004951,               0.004951
                     53,                0.63882,                0.99983,                 1.2499,                0.68398,                0.75214,                0.75476,                0.60446,                0.57864,                0.91082,                 1.2581,               0.004852,               0.004852,               0.004852
                     54,                0.64336,                0.99578,                 1.2468,                0.65878,                0.79072,                0.74703,                0.59412,                0.57286,                 0.9139,                 1.2479,               0.004753,               0.004753,               0.004753
                     55,                0.64732,                0.99623,                 1.2489,                0.63211,                 0.8469,                0.78164,                0.63946,                 0.5603,                 0.8865,                 1.2302,               0.004654,               0.004654,               0.004654
                     56,                 0.6309,                 0.9788,                 1.2381,                0.70221,                0.70994,                0.74499,                0.58747,                0.60458,                0.90148,                 1.3028,               0.004555,               0.004555,               0.004555
                     57,                0.64324,                0.98283,                 1.2507,                0.64384,                0.84778,                0.79567,                0.65025,                0.54349,                0.89577,                 1.2143,               0.004456,               0.004456,               0.004456
                     58,                0.62842,                0.97793,                 1.2409,                0.69805,                0.75636,                0.77528,                0.62193,                0.57851,                0.88315,                 1.2678,               0.004357,               0.004357,               0.004357
                     59,                0.62954,                0.97743,                 1.2407,                0.61668,                 0.7898,                  0.781,                0.62924,                0.56034,                0.92522,                 1.2373,               0.004258,               0.004258,               0.004258
                     60,                0.62233,                0.96336,                 1.2332,                0.62147,                 0.8081,                0.76107,                0.61566,                0.55073,                 0.9058,                 1.2154,               0.004159,               0.004159,               0.004159
                     61,                0.62687,                0.97107,                 1.2432,                0.66189,                0.76015,                0.74436,                 0.6056,                0.54723,                0.93011,                 1.2179,                0.00406,                0.00406,                0.00406
                     62,                0.62284,                0.96785,                 1.2344,                0.67654,                0.84336,                0.80535,                0.64562,                0.55497,                0.87245,                 1.2321,               0.003961,               0.003961,               0.003961
                     63,                0.61504,                0.95842,                  1.231,                0.64828,                0.76184,                0.73001,                 0.5951,                0.53545,                0.87212,                   1.19,               0.003862,               0.003862,               0.003862
