                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                 0.7031,                 1.0969,                 1.2742,                0.61828,                0.66367,                0.65347,                0.51364,                 0.6213,                0.98624,                  1.283,               0.006535,               0.006535,               0.006535
                     37,                0.70348,                 1.0887,                 1.2662,                0.56495,                 0.8659,                 0.7146,                0.55849,                0.62466,                 1.0459,                  1.287,               0.006436,               0.006436,               0.006436
                     38,                0.69004,                 1.0704,                  1.255,                 0.5999,                0.82428,                0.73822,                0.58769,                0.59103,                 0.9596,                 1.2628,               0.006337,               0.006337,               0.006337
                     39,                0.69599,                 1.0745,                 1.2577,                 0.5558,                0.85676,                 0.7074,                0.56257,                0.60618,                0.99717,                 1.2833,               0.006238,               0.006238,               0.006238
                     40,                0.68599,                 1.0776,                 1.2512,                0.68699,                0.72317,                0.72029,                 0.5809,                0.57644,                 0.8935,                  1.241,               0.006139,               0.006139,               0.006139
                     41,                0.69032,                 1.0714,                 1.2556,                0.59304,                0.86597,                0.69904,                0.56488,                0.55646,                0.92675,                 1.2163,                0.00604,                0.00604,                0.00604
                     42,                0.67753,                 1.0574,                 1.2443,                0.67048,                0.77109,                0.72687,                0.58681,                0.57295,                0.90401,                 1.2254,               0.005941,               0.005941,               0.005941
                     43,                0.67807,                 1.0569,                 1.2463,                 0.6439,                0.77917,                0.72405,                0.57983,                0.55644,                0.91852,                 1.2171,               0.005842,               0.005842,               0.005842
                     44,                0.67327,                 1.0544,                 1.2392,                0.67378,                0.72867,                0.71555,                0.57442,                0.56571,                0.91686,                 1.2286,               0.005743,               0.005743,               0.005743
                     45,                 0.6831,                 1.0518,                 1.2485,                0.56796,                 0.8367,                0.73718,                0.58618,                0.57938,                0.94842,                 1.2462,               0.005644,               0.005644,               0.005644
                     46,                 0.6814,                 1.0571,                 1.2488,                0.72234,                0.74148,                0.77012,                0.61808,                0.56742,                0.87401,                 1.2203,               0.005545,               0.005545,               0.005545
                     47,                0.67306,                 1.0417,                 1.2348,                0.71124,                0.73326,                0.75025,                0.59457,                0.59644,                0.88894,                 1.2554,               0.005446,               0.005446,               0.005446
                     48,                0.67436,                 1.0545,                 1.2438,                0.62549,                0.78826,                0.76754,                0.60407,                0.58273,                0.93346,                 1.2599,               0.005347,               0.005347,               0.005347
                     49,                0.66567,                  1.042,                 1.2344,                 0.6815,                0.75273,                0.73726,                0.58723,                0.56946,                0.87593,                 1.2307,               0.005248,               0.005248,               0.005248
                     50,                0.65915,                 1.0347,                 1.2234,                0.70714,                0.77522,                0.76634,                0.60603,                0.55032,                0.85213,                 1.2136,               0.005149,               0.005149,               0.005149
                     51,                0.65338,                   1.03,                 1.2201,                0.74024,                0.73722,                0.77255,                0.61194,                0.57473,                0.85077,                 1.2317,                0.00505,                0.00505,                0.00505
                     52,                 0.6541,                 1.0243,                 1.2181,                0.67837,                0.75277,                0.76963,                   0.62,                0.58553,                0.88247,                 1.2593,               0.004951,               0.004951,               0.004951
                     53,                0.65293,                 1.0231,                 1.2157,                0.64177,                 0.7531,                0.76345,                0.62051,                0.56014,                0.89134,                 1.2145,               0.004852,               0.004852,               0.004852
                     54,                0.65597,                 1.0249,                 1.2268,                0.59428,                0.81403,                0.75575,                0.59712,                0.56194,                0.90337,                 1.2098,               0.004753,               0.004753,               0.004753
                     55,                  0.656,                 1.0225,                 1.2249,                0.72393,                0.75308,                0.78578,                0.62824,                0.57672,                0.84411,                 1.2307,               0.004654,               0.004654,               0.004654
                     56,                 0.6447,                 1.0149,                 1.2081,                0.70283,                0.72146,                0.77161,                0.61382,                0.56415,                0.85192,                 1.2192,               0.004555,               0.004555,               0.004555
                     57,                0.64411,                 1.0196,                 1.2142,                0.69761,                0.75511,                 0.7602,                 0.6138,                 0.5534,                0.84982,                 1.2053,               0.004456,               0.004456,               0.004456
                     58,                0.63745,                 1.0119,                 1.2077,                0.57364,                0.85323,                0.77815,                0.62883,                0.56181,                0.93163,                 1.2158,               0.004357,               0.004357,               0.004357
                     59,                0.63565,                 1.0033,                 1.2048,                0.67802,                0.79383,                0.75647,                0.60595,                0.56325,                 0.8393,                 1.2255,               0.004258,               0.004258,               0.004258
                     60,                0.63319,                0.99556,                 1.2022,                0.62899,                0.82347,                0.77643,                 0.6427,                0.54452,                0.85781,                 1.1971,               0.004159,               0.004159,               0.004159
